Field Start Position,Field End Position,Field Length,Data Type,Description,Comments,Valid Values,structural
1,9,9,Text,RECORD KEY,,,FALSE
1,9,9,Text,CDS Code ,,"CDS codes for schools and districts
THE FIRST TWO POSITIONS WILL INCLUDE THE FOLLOWING AGGREGATION CODES: NS = Non-Special Needs; SN = Special Needs; ST = State; A = DFG A; B = DFG B; CD= DFG CD….",FALSE
1,2,2,Text,County Code,,"01, 03, 05, 07, 09, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 80",FALSE
3,6,4,Text,District Code,Applicable only for district and school aggregations.   ,"0100 to 9999, blank",FALSE
7,9,3,Text,School Code,Applicable only for school aggregations.,"001 to 999, blank",FALSE
10,59,50,Text,County Name,,"A to Z, blank;  Applicable only for district and school aggregations",FALSE
60,109,50,Text,District Name,,"A to Z, blank;  Applicable only for district and school aggregations",FALSE
110,159,50,Text,School Name,,"A to Z, blank;  Applicable only for school aggregations",FALSE
160,161,2,Text,DFG,"Applicable only for district and school aggregations.  For the DFG records, the DFG is only shown once, in the County Code field, and not in the DFG field.",A = DFG A; B = DFG B; CD= DFG CD…,FALSE
162,162,1,Text,Special Needs,Applicable only for District and School aggregations.,"Y = yes, blank if no",FALSE
163,282,120,TOTAL POPULATION,,,,TRUE
163,168,6,Integer,Number Enrolled LAL,Number of enrolled 11th graders,0 or greater for spreadsheet and 000000 or greater for text file ,FALSE
169,202,34,LANGUAGE ARTS,,,,TRUE
169,174,6,Integer,Number Not Present,,0 or greater for spreadsheet and 000000 or greater for text file. Blank if Number Enrolled = 0,FALSE
175,180,6,Integer,Number of Voids,,0 or greater for spreadsheet and 000000 or greater for text file. Blank if Number Enrolled = 0,FALSE
181,186,6,Integer,Number of Valid Scale Scores,,0 or greater for spreadsheet and 000000 or greater for text file. Blank if Number Enrolled = 0,FALSE
187,190,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0 for spreadsheet and 0000 to 1000 for text file.  Blank if Number Enrolled = 0 or if Number of Valid Scale Scores = 0.,FALSE
191,194,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0 for spreadsheet and 0000 to 1000 for text file.  Blank if Number Enrolled = 0 or if Number of Valid Scale Scores = 0.,FALSE
195,198,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0 for spreadsheet and 0000 to 1000 for text file.  Blank if Number Enrolled = 0 or if Number of Valid Scale Scores = 0.,FALSE
199,202,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0 for spreadsheet and 1000 to 3000 for text file.  Blank if Number Enrolled = 0 or if Number of Valid Scale Scores = 0.,FALSE
203,242,40,MATHEMATICS,,,,TRUE
203,208,6,Integer,Number Enrolled Math,Number of enrolled 11th graders,0 or greater for spreadsheet and 000000 or greater for text file,FALSE
209,214,6,Integer,Number Not Present,,0 or greater for spreadsheet and 000000 or greater for text file. Blank if Number Enrolled = 0,FALSE
215,220,6,Integer,Number of Voids,,0 or greater for spreadsheet and 000000 or greater for text file. Blank if Number Enrolled = 0,FALSE
221,226,6,Integer,Number of Valid Scale Scores,,0 or greater for spreadsheet and 000000 or greater for text file. Blank if Number Enrolled = 0,FALSE
227,230,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0 for spreadsheet and 0000 to 1000 for text file.  Blank if Number Enrolled = 0 or if Number of Valid Scale Scores = 0.,FALSE
231,234,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0 for spreadsheet and 0000 to 1000 for text file.  Blank if Number Enrolled = 0 or if Number of Valid Scale Scores = 0.,FALSE
235,238,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0 for spreadsheet and 0000 to 1000 for text file.  Blank if Number Enrolled = 0 or if Number of Valid Scale Scores = 0.,FALSE
239,242,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0 for spreadsheet and 1000 to 3000 for text file.  Blank if Number Enrolled = 0 or if Number of Valid Scale Scores = 0.,FALSE
243,282,40,SCIENCE,,,,TRUE
243,248,6,Integer,Number Enrolled Science,Number of enrolled students in all grades except adult high schoolers.,0 or greater for spreadsheet and 000000 or greater for text file,FALSE
249,254,6,Integer,Number Not Present,,0 or greater for spreadsheet and 000000 or greater for text file. Blank if Number Enrolled = 0,FALSE
255,260,6,Integer,Number of Voids,,0 or greater for spreadsheet and 000000 or greater for text file. Blank if Number Enrolled = 0,FALSE
261,266,6,Integer,Number of Valid Scale Scores,,0 or greater for spreadsheet and 000000 or greater for text file. Blank if Number Enrolled = 0,FALSE
267,270,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0 for spreadsheet and 0000 to 1000 for text file.  Blank if Number Enrolled = 0 or if Number of Valid Scale Scores = 0.,FALSE
271,274,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0 for spreadsheet and 0000 to 1000 for text file.  Blank if Number Enrolled = 0 or if Number of Valid Scale Scores = 0.,FALSE
275,278,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0 for spreadsheet and 0000 to 1000 for text file.  Blank if Number Enrolled = 0 or if Number of Valid Scale Scores = 0.,FALSE
279,282,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0 for spreadsheet and 1000 to 3000 for text file.  Blank if Number Enrolled = 0 or if Number of Valid Scale Scores = 0.,FALSE
283,402,120,GENERAL EDUCATION,,,,TRUE
283,288,6,Integer,Number Enrolled LAL,Number of enrolled 11th graders,0 or greater for spreadsheet and 000000 or greater for text file,FALSE
289,322,34,LANGUAGE ARTS,,,,TRUE
289,294,6,Integer,Number Not Present,,0 or greater for spreadsheet and 000000 or greater for text file. Blank if Number Enrolled = 0,FALSE
