Field Start Position,Field End Position,Field Length,Data Type,Description,Comments,Valid Values,structural
1,9,9,Text,CDS Code ,,"CDS codes for schools and districts
THE FIRST TWO POSITIONS WILL INCLUDE THE FOLLOWING AGGREGATION CODES: NS = Non-Special Needs; SN = Special Needs; ST = State; A = DFG A; B = DFG B; CD= DFG CD….",FALSE
1,2,2,Text,County Code,,"01, 03, 05, 07, 09, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 80, 90",FALSE
3,6,4,Text,District Code,,0100 to 9999,FALSE
7,9,3,Text,School Code,,001 to 999,FALSE
10,59,50,Text,County Name,,"A to Z, blank;  Applicable only for district and school aggregations",FALSE
60,109,50,Text,District Name,,"A to Z, blank;  Applicable only for district and school aggregations",FALSE
110,159,50,Text,School Name,,"A to Z, blank;  Applicable only for district and school aggregations",FALSE
160,161,2,Text,DFG Flag ,,Applicable only for district and school aggregateions DFG A-J and DFG R,FALSE
162,162,1,Text,Special Needs (Abbott) district flag,, Y=special need     Otherwise blank,FALSE
163,270,6,TOTAL POPULATION,,,,TRUE
163,168,6,Integer,Number Enrolled,Number of enrolled students,0 or greater,FALSE
169,202,34,LANGUAGE ARTS,,,,TRUE
169,174,6,Integer,Number Not Present,,0 or greater,FALSE
175,180,6,Integer,Number of Voids,,0 or greater,FALSE
181,186,6,Integer,Number of Valid Scale Scores,,0 or greater,FALSE
187,190,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
191,194,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
195,198,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
199,202,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0,FALSE
203,236,34,MATHEMATICS,,,,TRUE
203,208,6,Integer,Number Not Present,,0 or greater,FALSE
209,214,6,Integer,Number of Voids,,0 or greater,FALSE
215,220,6,Integer,Number of Valid Scale Scores,,0 or greater,FALSE
221,224,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
225,228,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
229,232,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
233,236,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0,FALSE
237,270,34,SCIENCE,,,,TRUE
237,242,6,Integer,Number Not Present,,0 or greater,FALSE
243,248,6,Integer,Number of Voids,,0 or greater,FALSE
249,254,6,Integer,Number of Valid Scale Scores,,0 or greater,FALSE
255,258,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
259,262,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
263,266,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
267,270,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0,FALSE
271,378,6,GENERAL EDUCATION,,,,TRUE
271,276,6,Integer,Number Enrolled,Number of enrolled students,0 or greater,FALSE
277,310,34,LANGUAGE ARTS,,,,TRUE
277,282,6,Integer,Number Not Present,,0 or greater,FALSE
283,288,6,Integer,Number of Voids,,0 or greater,FALSE
289,294,6,Integer,Number of Valid Scale Scores,,0 or greater,FALSE
295,298,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
299,302,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
303,306,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
307,310,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0,FALSE
311,344,34,MATHEMATICS,,,,TRUE
311,316,6,Integer,Number Not Present,,0 or greater,FALSE
317,322,6,Integer,Number of Voids,,0 or greater,FALSE
323,328,6,Integer,Number of Valid Scale Scores,,0 or greater,FALSE
329,332,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
333,336,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
337,340,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
341,344,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0,FALSE
345,378,34,SCIENCE,,,,TRUE
