Field Start Position,Field End Position,Field Length,Data Type,Description,Comments,Valid Values,structural
1,9,9,Text,CDS Code ,,"CDS codes for schools and districts
THE FIRST TWO POSITIONS WILL INCLUDE THE FOLLOWING AGGREGATION CODES: NS = Non-Special Needs; SN = Special Needs; ST = State; A = DFG A; B = DFG B; CD= DFG CD….",FALSE
1,2,2,Text,County Code,,"01, 03, 05, 07, 09, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 80, 90",FALSE
3,6,4,Text,District Code,,0100 to 9999,FALSE
7,9,3,Text,School Code,,001 to 999,FALSE
10,59,50,Text,County Name,,"A to Z, blank;  Applicable only for district and school aggregations",FALSE
60,109,50,Text,District Name,,"A to Z, blank;  Applicable only for district and school aggregations",FALSE
110,159,50,Text,School Name,,"A to Z, blank;  Applicable only for district and school aggregations",FALSE
160,161,2,Text,DFG Flag ,,Applicable only for district and school aggregateions DFG A-J and DFG R,FALSE
162,162,1,Text,Special Needs (Abbott) district flag,, Y=special need     Otherwise blank,FALSE
163,288,126,TOTAL POPULATION,,,,TRUE
163,168,6,Integer,Number Enrolled,Number of enrolled students,0 or greater,FALSE
169,208,40,LANGUAGE ARTS,,,,TRUE
169,174,6,Integer,Number Not Present,,0 or greater,FALSE
175,180,6,Integer,Number of Voids,,0 or greater,FALSE
181,186,6,Integer,Number of APA,,0 or greater.,FALSE
187,192,6,Integer,Number of Valid Scale Scores,,0 or greater,FALSE
193,196,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
197,200,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
201,204,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
205,208,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0,FALSE
209,248,40,MATHEMATICS,,,,TRUE
209,214,6,Integer,Number Not Present,,0 or greater,FALSE
215,220,6,Integer,Number of Voids,,0 or greater,FALSE
221,226,6,Integer,Number of APA,,0 or greater.,FALSE
227,232,6,Integer,Number of Valid Scale Scores,,0 or greater,FALSE
233,236,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
237,240,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
241,244,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
245,248,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0,FALSE
249,288,40,SCIENCE,,,,TRUE
249,254,6,Integer,Number Not Present,,0 or greater,FALSE
255,260,6,Integer,Number of Voids,,0 or greater,FALSE
261,266,6,Integer,Number of APA,,0 or greater.,FALSE
267,272,6,Integer,Number of Valid Scale Scores,,0 or greater,FALSE
273,276,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
277,280,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
281,284,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
285,288,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0,FALSE
289,414,126,SPECIAL EDUCATION,,,,TRUE
289,294,6,Integer,Number Enrolled,Number of enrolled students,0 or greater,FALSE
295,334,40,LANGUAGE ARTS,,,,TRUE
295,300,6,Integer,Number Not Present,,0 or greater,FALSE
301,306,6,Integer,Number of Voids,,0 or greater,FALSE
307,312,6,Integer,Number of APA,,0 or greater.,FALSE
313,318,6,Integer,Number of Valid Scale Scores,,0 or greater,FALSE
319,322,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
323,326,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
327,330,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
331,334,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0,FALSE
335,374,40,MATHEMATICS,,,,TRUE
335,340,6,Integer,Number Not Present,,0 or greater,FALSE
341,346,6,Integer,Number of Voids,,0 or greater,FALSE
347,352,6,Integer,Number of APA,,0 or greater.,FALSE
353,358,6,Integer,Number of Valid Scale Scores,,0 or greater,FALSE
359,362,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
